record_id,snapshot_date,segment,source_id,list_position,irc_status_prefixes,display_nickname,raw_line,privacy_classification,civil_identity_linked,sensitive_data_included,normalized_duplicate_count
cb_20021128_0977,2002-11-28,female,canalbarra_cadastros_20021128_female,27,,^Anjinha-Rj^,^Anjinha-Rj^,historical_public_nickname,false,false,1
cb_20021128_0978,2002-11-28,female,canalbarra_cadastros_20021128_female,28,,^BiAzInHa^,^BiAzInHa^,historical_public_nickname,false,false,1
cb_20021128_0979,2002-11-28,female,canalbarra_cadastros_20021128_female,29,,^nanas^,^nanas^,historical_public_nickname,false,false,1
cb_20021128_0980,2002-11-28,female,canalbarra_cadastros_20021128_female,30,,_Bia_22,_Bia_22,historical_public_nickname,false,false,1
cb_20021128_0981,2002-11-28,female,canalbarra_cadastros_20021128_female,31,,_CRISS_,_CRISS_,historical_public_nickname,false,false,1
cb_20021128_0982,2002-11-28,female,canalbarra_cadastros_20021128_female,32,,_erotic_babe_,_erotic_babe_,historical_public_nickname,false,false,1
cb_20021128_0983,2002-11-28,female,canalbarra_cadastros_20021128_female,33,,_FELINA_BARRA_,_FELINA_BARRA_,historical_public_nickname,false,false,1
cb_20021128_0984,2002-11-28,female,canalbarra_cadastros_20021128_female,34,,_Joaninha-Barra_,_Joaninha-Barra_,historical_public_nickname,false,false,1
cb_20021128_0985,2002-11-28,female,canalbarra_cadastros_20021128_female,35,,_Liva_,_Liva_,historical_public_nickname,false,false,1
cb_20021128_0986,2002-11-28,female,canalbarra_cadastros_20021128_female,36,,_NiNa_FiSioTeRaPeuTa,_NiNa_FiSioTeRaPeuTa,historical_public_nickname,false,false,1
cb_20021128_0987,2002-11-28,female,canalbarra_cadastros_20021128_female,37,,_Pekenina_Menina_,_Pekenina_Menina_,historical_public_nickname,false,false,1
cb_20021128_0988,2002-11-28,female,canalbarra_cadastros_20021128_female,38,,_princesinha_,_princesinha_,historical_public_nickname,false,false,1
cb_20021128_0989,2002-11-28,female,canalbarra_cadastros_20021128_female,39,,`FLorZinHa`Sk8`,`FLorZinHa`Sk8`,historical_public_nickname,false,false,1
